Model,Experiment,bpp,ppl_wikitext2,ppl_c4,hellaswag,mathqa,openbookqa,pubmedqa,sciq,zeroshot,commonsense,average9,mmlu,average6,qat,mse,average,ppl_ptb,proxy_err,mse_normed,lambda,arc_challenge,arc_easy,boolq,piqa,winogrande,bpp_key
GPT-OSS 20B,gpt-oss-20b_ql_ldlq64_rnorm_seed2,3.926237441630453,,230.5552978515625,0.4064927305317666,,,,,0.6761122217809358,0.6311756399060743,,0.5281298960262071,,,0.0223457674394866,,,0.0022488727172447,,300,0.4496587030716723,0.7769360269360269,0.7541284403669725,0.750272034820457,0.6495659037095501,3.926237
GPT-OSS 20B,gpt-oss-20b_ql_ldlq64_rnorm_seed2,4.765048516038608,,208.0479431152344,0.4159529974108743,,,,,0.6823118741436524,0.6379187280215227,,0.5477140008545791,,,0.008378814758854,,,0.000830269895528,,1000,0.4590443686006826,0.7777777777777778,0.7620795107033639,0.7480957562568009,0.664561957379637,4.765049
GPT-OSS 20B,gpt-oss-20b_ql_ldlq64_rnorm_seed2,5.968197669064692,,217.2088623046875,0.4156542521410077,,,,,0.6817945863427145,0.6374378639757633,,0.561244836917818,,,0.0019991318050096,,,0.0001987579264954,,10000,0.4581911262798634,0.7790404040404041,0.7452599388379205,0.7524483133841132,0.6740331491712708,5.968198
GPT-OSS 20B,gpt-oss-20b_ql_ldlq64_rnorm_seed3,2.2791845435336837,,224.9534606933593,0.3807010555666202,,,,,0.6502782761576532,0.6053487393924811,,0.4087736789631107,,,0.257835541285233,,,0.0258935125901118,,30,0.378839590443686,0.7323232323232324,0.789908256880734,0.7165397170837867,0.6337805840568271,2.279185
GPT-OSS 20B,gpt-oss-20b_ql_ldlq64_rnorm_seed3,2.642296139856698,,225.72366333007807,0.3946425014937263,,,,,0.6534993107488372,0.6103565092063187,,0.4529981484119071,,,0.1553940008119338,,,0.015661746147115,,50,0.4155290102389078,0.7335858585858586,0.7467889908256881,0.7393906420021763,0.6322020520915549,2.642296
GPT-OSS 20B,gpt-oss-20b_ql_ldlq64_rnorm_seed3,3.1420995973164785,,212.9686584472656,0.4090818562039434,,,,,0.6709223147724801,0.6272822383443907,,0.5045577553055121,,,0.0737695031461664,,,0.0074547270290866,,100,0.4308873720136519,0.7613636363636364,0.7559633027522936,0.749727965179543,0.6566692975532754,3.1421
GPT-OSS 20B,gpt-oss-20b_ql_ldlq64_rnorm_seed3,3.9228590350869177,,214.3902282714844,0.4045010953993228,,,,,0.6789784265224281,0.6332322046685772,,0.4965104685942173,,,0.0248306940052025,,,0.0025044853574566,,300,0.4453924914675768,0.7676767676767676,0.7831804281345566,0.7459194776931447,0.6527229676400947,3.922859
GPT-OSS 20B,gpt-oss-20b_ql_ldlq64_rnorm_seed3,4.742632503331273,,221.07423400878903,0.4212308305118502,,,,,0.6744362102808605,0.6322353136526921,,0.5521293263067939,,,0.0088715725425559,,,0.0008790119196756,,1000,0.4385665529010238,0.7676767676767676,0.7565749235474006,0.7519042437431991,0.6574585635359116,4.742633
GPT-OSS 20B,gpt-oss-20b_ql_ldlq64_rnorm_seed3,5.894806977260787,,215.4527587890625,0.4148575980880303,,,,,0.6825245702276181,0.6379134082043535,,0.5701467027488961,,,0.0021251568661552,,,0.000218647340048,,10000,0.4530716723549488,0.773989898989899,0.7669724770642202,0.7524483133841132,0.6661404893449092,5.894807
Gemma3-4B,FP16,base,10.75752067565918,14.966899871826172,0.5685122485560645,,,,,0.7218372709710483,0.696283100568551,,0.579689502919812,,,0.0,,,0.0,0.0,base,0.5127986348122867,0.8148148148148148,0.7920489296636085,0.7894450489662677,0.7000789265982637,base
Gemma3-4B,QTIP_no_e2e,2.0,16.80889129638672,21.62901306152344,0.4715196176060546,,,,,0.6272100635315606,0.6012616558773096,,0.4269334852585101,,,0.0,,,0.0,0.0,2.0,0.3737201365187713,0.7314814814814815,0.6636085626911316,0.735038084874864,0.6322020520915549,2.0
