run,dataset,label,encoder_transform,decoder_transform,encoder_n_resblock,decoder_n_resblock,lmbda,iter,bpp,mse_normed,recon_loss,loss,ckpt
gaussian_rht-rht_compressai_M16_lmbda256,gaussian,rht,rht,rht,2,2,256.0,20000,2.3156216144561768,0.06252869218581622,0.06252869218587875,18.322967529296875,checkpoint/rd_sweep/gaussian_rht-rht_compressai_M16_lmbda256/best.pth.tar
gaussian_rht-rht_compressai_M16_lmbda1024,gaussian,rht,rht,rht,2,2,1024.0,20000,2.32151460647583,0.06246227025979471,0.06246227025985718,66.28288269042969,checkpoint/rd_sweep/gaussian_rht-rht_compressai_M16_lmbda1024/best.pth.tar
gaussian_rht-rht_compressai_M16_lmbda8192,gaussian,rht,rht,rht,2,2,8192.0,20000,2.323305130004883,0.06244533881538822,0.06244533881545067,513.8755493164062,checkpoint/rd_sweep/gaussian_rht-rht_compressai_M16_lmbda8192/best.pth.tar
llama8b_affine-affine_compressai_M16_lmbda32,llama8b,affine,affine,affine,2,2,32.0,15000,2.988105297088623,0.02249768190083638,0.02249768190085888,3.708031177520752,checkpoint/rd_sweep/llama8b_affine-affine_compressai_M16_lmbda32/best.pth.tar
llama8b_affine-affine_compressai_M16_lmbda64,llama8b,affine,affine,affine,2,2,64.0,20000,3.482487201690674,0.011324970051634907,0.011324970051646233,4.207285404205322,checkpoint/rd_sweep/llama8b_affine-affine_compressai_M16_lmbda64/best.pth.tar
llama8b_affine-affine_compressai_M16_lmbda128,llama8b,affine,affine,affine,2,2,128.0,20000,3.6485941410064697,0.008990204893043587,0.008990204893052578,4.79934024810791,checkpoint/rd_sweep/llama8b_affine-affine_compressai_M16_lmbda128/best.pth.tar
llama8b_affine-affine_compressai_M16_lmbda256,llama8b,affine,affine,affine,2,2,256.0,20000,3.699005365371704,0.008385281078509051,0.008385281078517437,5.845637321472168,checkpoint/rd_sweep/llama8b_affine-affine_compressai_M16_lmbda256/best.pth.tar
llama8b_affine-affine_compressai_M16_lmbda1024,llama8b,affine,affine,affine,2,2,1024.0,20000,3.7617604732513428,0.007686717435709895,0.007686717435717583,11.632959365844727,checkpoint/rd_sweep/llama8b_affine-affine_compressai_M16_lmbda1024/best.pth.tar
llama8b_affine-affine_compressai_M16_lmbda8192,llama8b,affine,affine,affine,2,2,8192.0,20000,3.7620198726654053,0.007683986797921125,0.00768398679792881,66.70923614501953,checkpoint/rd_sweep/llama8b_affine-affine_compressai_M16_lmbda8192/best.pth.tar
llama8b_linear-linear_compressai_M16_lmbda32,llama8b,linear,linear,linear,2,2,32.0,20000,2.986710548400879,0.022547727450705865,0.022547727450728416,3.708237886428833,checkpoint/rd_sweep/llama8b_linear-linear_compressai_M16_lmbda32/best.pth.tar
llama8b_linear-linear_compressai_M16_lmbda64,llama8b,linear,linear,linear,2,2,64.0,20000,3.486793041229248,0.011280789971340341,0.011280789971351624,4.208763599395752,checkpoint/rd_sweep/llama8b_linear-linear_compressai_M16_lmbda64/best.pth.tar
llama8b_linear-linear_compressai_M16_lmbda128,llama8b,linear,linear,linear,2,2,128.0,20000,3.9866018295288086,0.005634035449469416,0.00563403544947505,4.70775842666626,checkpoint/rd_sweep/llama8b_linear-linear_compressai_M16_lmbda128/best.pth.tar
llama8b_linear-linear_compressai_M16_lmbda256,llama8b,linear,linear,linear,2,2,256.0,20000,4.425871849060059,0.003068043617528589,0.0030680436175316572,5.2112908363342285,checkpoint/rd_sweep/llama8b_linear-linear_compressai_M16_lmbda256/best.pth.tar
llama8b_linear-linear_compressai_M16_lmbda1024,llama8b,linear,linear,linear,2,2,1024.0,20000,4.7237091064453125,0.00207899371161849,0.0020789937116205692,6.852598667144775,checkpoint/rd_sweep/llama8b_linear-linear_compressai_M16_lmbda1024/best.pth.tar
llama8b_linear-linear_compressai_M16_lmbda8192,llama8b,linear,linear,linear,2,2,8192.0,20000,4.766860485076904,0.0019860623870025084,0.0019860623870044947,21.036684036254883,checkpoint/rd_sweep/llama8b_linear-linear_compressai_M16_lmbda8192/best.pth.tar
llama8b_encR1_decR1_compressai_M16_lmbda32,llama8b,resblock(n=1),resblock,resblock,1,1,32.0,2000,3.7795968055725098,0.011406354606140173,0.01140635460615158,4.144599914550781,checkpoint/rd_sweep_extra/llama8b_encR1_decR1_compressai_M16_lmbda32/best.pth.tar
llama8b_encR1_decR1_compressai_M16_lmbda64,llama8b,resblock(n=1),resblock,resblock,1,1,64.0,2000,3.934361696243286,0.0075935130007489075,0.007593513000756502,4.420346736907959,checkpoint/rd_sweep_extra/llama8b_encR1_decR1_compressai_M16_lmbda64/best.pth.tar
llama8b_encR1_decR1_compressai_M16_lmbda128,llama8b,resblock(n=1),resblock,resblock,1,1,128.0,2000,4.304839134216309,0.004393528681244032,0.0043935286812484264,4.867210865020752,checkpoint/rd_sweep_extra/llama8b_encR1_decR1_compressai_M16_lmbda128/best.pth.tar
llama8b_encR1_decR1_compressai_M16_lmbda256,llama8b,resblock(n=1),resblock,resblock,1,1,256.0,2000,4.669890403747559,0.0027481601573499377,0.002748160157352686,5.373419284820557,checkpoint/rd_sweep_extra/llama8b_encR1_decR1_compressai_M16_lmbda256/best.pth.tar
llama8b_encR1_decR1_compressai_M16_lmbda1024,llama8b,resblock(n=1),resblock,resblock,1,1,1024.0,18000,5.46688985824585,0.0007776392158113094,0.0007776392158120871,6.263192176818848,checkpoint/rd_sweep_extra/llama8b_encR1_decR1_compressai_M16_lmbda1024/best.pth.tar
llama8b_encR1_decR1_compressai_M16_lmbda8192,llama8b,resblock(n=1),resblock,resblock,1,1,8192.0,18000,6.246903896331787,0.00033461488783326064,0.0003346148878335953,8.988069534301758,checkpoint/rd_sweep_extra/llama8b_encR1_decR1_compressai_M16_lmbda8192/best.pth.tar
llama8b_resblock-resblock_compressai_M16_lmbda32,llama8b,resblock(n=2),resblock,resblock,2,2,32.0,20000,2.9864885807037354,0.022556722164131494,0.022556722164154053,3.708303689956665,checkpoint/rd_sweep/llama8b_resblock-resblock_compressai_M16_lmbda32/best.pth.tar
llama8b_resblock-resblock_compressai_M16_lmbda64,llama8b,resblock(n=2),resblock,resblock,2,2,64.0,5000,3.53950572013855,0.01131396740673841,0.011313967406749725,4.263599395751953,checkpoint/rd_sweep/llama8b_resblock-resblock_compressai_M16_lmbda64/best.pth.tar
llama8b_resblock-resblock_compressai_M16_lmbda128,llama8b,resblock(n=2),resblock,resblock,2,2,128.0,15000,3.9824764728546143,0.005696221720421578,0.005696221720427275,4.711592674255371,checkpoint/rd_sweep/llama8b_resblock-resblock_compressai_M16_lmbda128/best.pth.tar
llama8b_resblock-resblock_compressai_M16_lmbda256,llama8b,resblock(n=2),resblock,resblock,2,2,256.0,20000,4.4783711433410645,0.0028768477495730955,0.0028768477495759726,5.214844226837158,checkpoint/rd_sweep/llama8b_resblock-resblock_compressai_M16_lmbda256/best.pth.tar
llama8b_resblock-resblock_compressai_M16_lmbda1024,llama8b,resblock(n=2),resblock,resblock,2,2,1024.0,20000,5.369394779205322,0.0009678849601177132,0.0009678849601186812,6.360508918762207,checkpoint/rd_sweep/llama8b_resblock-resblock_compressai_M16_lmbda1024/best.pth.tar
llama8b_resblock-resblock_compressai_M16_lmbda8192,llama8b,resblock(n=2),resblock,resblock,2,2,8192.0,20000,5.989471912384033,0.00048151685041327303,0.0004815168504137546,9.93405818939209,checkpoint/rd_sweep/llama8b_resblock-resblock_compressai_M16_lmbda8192/best.pth.tar
llama8b_encR2_decLinear_compressai_M16_lmbda32,llama8b,resblock(n=2)/linear,resblock,linear,2,4,32.0,2000,3.5433878898620605,0.013393579050885156,0.013393579050898552,3.971982479095459,checkpoint/rd_sweep_extra/llama8b_encR2_decLinear_compressai_M16_lmbda32/best.pth.tar
llama8b_encR2_decLinear_compressai_M16_lmbda64,llama8b,resblock(n=2)/linear,resblock,linear,2,4,64.0,2000,3.735905408859253,0.009054297581305985,0.00905429758131504,4.315380573272705,checkpoint/rd_sweep_extra/llama8b_encR2_decLinear_compressai_M16_lmbda64/best.pth.tar
llama8b_encR2_decLinear_compressai_M16_lmbda128,llama8b,resblock(n=2)/linear,resblock,linear,2,4,128.0,2000,4.066953659057617,0.005515942350024429,0.005515942350029945,4.772994041442871,checkpoint/rd_sweep_extra/llama8b_encR2_decLinear_compressai_M16_lmbda128/best.pth.tar
llama8b_encR2_decLinear_compressai_M16_lmbda256,llama8b,resblock(n=2)/linear,resblock,linear,2,4,256.0,4000,4.49943208694458,0.0028192771133007228,0.002819277113303542,5.221167087554932,checkpoint/rd_sweep_extra/llama8b_encR2_decLinear_compressai_M16_lmbda256/best.pth.tar
llama8b_encR2_decLinear_compressai_M16_lmbda1024,llama8b,resblock(n=2)/linear,resblock,linear,2,4,1024.0,20000,5.4832377433776855,0.0007087455014691119,0.0007087455014698207,6.208992958068848,checkpoint/rd_sweep_extra/llama8b_encR2_decLinear_compressai_M16_lmbda1024/best.pth.tar
llama8b_encR2_decLinear_compressai_M16_lmbda8192,llama8b,resblock(n=2)/linear,resblock,linear,2,4,8192.0,20000,6.778832912445068,0.00012003387382707661,0.00012003387382719666,7.762150287628174,checkpoint/rd_sweep_extra/llama8b_encR2_decLinear_compressai_M16_lmbda8192/best.pth.tar
llama8b_encR2_decR1_compressai_M16_lmbda32,llama8b,resblock(n=2)/resblock(n=1),resblock,resblock,2,1,32.0,2000,4.024593830108643,0.009638458490362064,0.009638458490371704,4.333024501800537,checkpoint/rd_sweep_extra/llama8b_encR2_decR1_compressai_M16_lmbda32/best.pth.tar
llama8b_encR2_decR1_compressai_M16_lmbda64,llama8b,resblock(n=2)/resblock(n=1),resblock,resblock,2,1,64.0,2000,4.269847393035889,0.006127640139305424,0.006127640139311552,4.66201639175415,checkpoint/rd_sweep_extra/llama8b_encR2_decR1_compressai_M16_lmbda64/best.pth.tar
llama8b_encR2_decR1_compressai_M16_lmbda128,llama8b,resblock(n=2)/resblock(n=1),resblock,resblock,2,1,128.0,2000,4.480714797973633,0.00434301188215179,0.004343011882156134,5.036620140075684,checkpoint/rd_sweep_extra/llama8b_encR2_decR1_compressai_M16_lmbda128/best.pth.tar
llama8b_encR2_decR1_compressai_M16_lmbda256,llama8b,resblock(n=2)/resblock(n=1),resblock,resblock,2,1,256.0,20000,4.477880477905273,0.002889886265617699,0.0028898862656205893,5.217691421508789,checkpoint/rd_sweep_extra/llama8b_encR2_decR1_compressai_M16_lmbda256/best.pth.tar
llama8b_encR2_decR1_compressai_M16_lmbda1024,llama8b,resblock(n=2)/resblock(n=1),resblock,resblock,2,1,1024.0,18000,5.389140605926514,0.0008918036473906062,0.0008918036473914981,6.302347660064697,checkpoint/rd_sweep_extra/llama8b_encR2_decR1_compressai_M16_lmbda1024/best.pth.tar
llama8b_encR2_decR1_compressai_M16_lmbda8192,llama8b,resblock(n=2)/resblock(n=1),resblock,resblock,2,1,8192.0,18000,6.065108299255371,0.0004084983665957687,0.0004084983665961772,9.411526679992676,checkpoint/rd_sweep_extra/llama8b_encR2_decR1_compressai_M16_lmbda8192/best.pth.tar
llama8b_rht-rht_compressai_M16_lmbda32,llama8b,rht,rht,rht,2,2,32.0,20000,2.2581934928894043,0.06425935775035153,0.0642593577504158,4.314493179321289,checkpoint/rd_sweep/llama8b_rht-rht_compressai_M16_lmbda32/best.pth.tar
llama8b_rht-rht_compressai_M16_lmbda64,llama8b,rht,rht,rht,2,2,64.0,20000,2.2907259464263916,0.0629088357090321,0.062908835709095,6.316891670227051,checkpoint/rd_sweep/llama8b_rht-rht_compressai_M16_lmbda64/best.pth.tar
llama8b_rht-rht_compressai_M16_lmbda128,llama8b,rht,rht,rht,2,2,128.0,20000,2.305475950241089,0.06259246170514522,0.06259246170520782,10.31731128692627,checkpoint/rd_sweep/llama8b_rht-rht_compressai_M16_lmbda128/best.pth.tar
llama8b_rht-rht_compressai_M16_lmbda256,llama8b,rht,rht,rht,2,2,256.0,20000,2.3131930828094482,0.06247202306979607,0.06247202306985855,18.3060302734375,checkpoint/rd_sweep/llama8b_rht-rht_compressai_M16_lmbda256/best.pth.tar
llama8b_rht-rht_compressai_M16_lmbda1024,llama8b,rht,rht,rht,2,2,1024.0,20000,2.319124937057495,0.0624016523360582,0.062401652336120605,66.21841430664062,checkpoint/rd_sweep/llama8b_rht-rht_compressai_M16_lmbda1024/best.pth.tar
llama8b_rht-rht_compressai_M16_lmbda8192,llama8b,rht,rht,rht,2,2,8192.0,20000,2.3209197521209717,0.06238326057785471,0.0623832605779171,513.3645629882812,checkpoint/rd_sweep/llama8b_rht-rht_compressai_M16_lmbda8192/best.pth.tar
