/opt/conda/lib/python3.10/site-packages/timm/models/layers/__init__.py:48: FutureWarning: Importing from timm.models.layers is deprecated, please import via timm.layers
11:40:42 INFO - test: File name: 227, MSE: 0.18567602904375627, BPP: 2.1875
11:40:42 INFO - test: File name: 228, MSE: 0.17039045751006127, BPP: 1.953125
11:40:42 INFO - test: File name: 229, MSE: 0.1742120418510587, BPP: 2.1875
11:40:42 INFO - test: File name: 230, MSE: 0.1816862173146822, BPP: 2.109375
11:40:43 INFO - test: File name: 231, MSE: 0.16919667395300755, BPP: 2.0546875
11:40:43 INFO - test: File name: 232, MSE: 0.19969145279957978, BPP: 2.2265625
11:40:43 INFO - test: File name: 233, MSE: 0.17684748270389514, BPP: 2.0859375
11:40:43 INFO - test: File name: 234, MSE: 0.17093691389346347, BPP: 2.09375
11:40:43 INFO - test: File name: 235, MSE: 0.1996264301607459, BPP: 2.1484375
11:40:44 INFO - test: File name: 236, MSE: 0.18767346032486049, BPP: 2.1796875
11:40:44 INFO - test: File name: 237, MSE: 0.16243337134344388, BPP: 2.0546875
11:40:44 INFO - test: File name: 238, MSE: 0.20863600419503853, BPP: 2.25
11:40:44 INFO - test: File name: 239, MSE: 0.1889110785492604, BPP: 2.2109375
11:40:44 INFO - test: File name: 240, MSE: 0.19176948542219235, BPP: 2.125
11:40:45 INFO - test: File name: 241, MSE: 0.17609658609990814, BPP: 2.0546875
11:40:45 INFO - test: File name: 242, MSE: 0.1781890897418872, BPP: 2.09375
11:40:45 INFO - test: File name: 243, MSE: 0.19167534299810393, BPP: 2.171875
11:40:45 INFO - test: File name: 244, MSE: 0.1886925981066055, BPP: 2.171875
11:40:45 INFO - test: File name: 245, MSE: 0.20121922953541083, BPP: 2.140625
11:40:46 INFO - test: File name: 246, MSE: 0.17942090953691273, BPP: 2.140625
11:40:46 INFO - test: File name: 247, MSE: 0.17238019402010885, BPP: 2.1015625
11:40:46 INFO - test: File name: 248, MSE: 0.19894781334933812, BPP: 2.1640625
11:40:46 INFO - test: File name: 249, MSE: 0.18705813391709608, BPP: 2.1875
11:40:47 INFO - test: File name: 250, MSE: 0.16873517003015695, BPP: 2.03125
11:40:47 INFO - test: File name: 251, MSE: 0.17319742611486355, BPP: 2.0546875
11:40:47 INFO - test: File name: 252, MSE: 0.150374771629049, BPP: 1.8359375
11:40:47 INFO - test: File name: 253, MSE: 0.17898424039647706, BPP: 2.1328125
11:40:47 INFO - test: File name: 254, MSE: 0.15896434244884378, BPP: 1.9453125
11:40:48 INFO - test: File name: 255, MSE: 0.189903448738799, BPP: 2.1640625
11:40:48 INFO - test: File name: 256, MSE: 0.19323800148045467, BPP: 2.1796875
11:40:48 INFO - test: File name: 257, MSE: 0.18080199330319288, BPP: 2.1171875
11:40:48 INFO - test: File name: 258, MSE: 0.1993559461942676, BPP: 2.21875
11:40:48 INFO - test: File name: 259, MSE: 0.1861936938548874, BPP: 2.140625
11:40:49 INFO - test: File name: 260, MSE: 0.6934139655539905, BPP: 3.0625
11:40:49 INFO - test: File name: 261, MSE: 0.2000344718354022, BPP: 2.203125
