iter,Test BPP,Test MSE,Best Loss,Best MSE
910000,10.008,346323144940.38916,8.0,23006025366.94797
920000,10.006,137788107279.45172,8.0,23006025366.94797
930000,10.01,99549501311.053,8.0,23006025366.94797
940000,10.012,219957990438.71817,8.0,23006025366.94797
950000,10.006,2002237975473.152,8.0,23006025366.94797
960000,10.008,381676624848.44446,8.0,23006025366.94797
970000,10.01,260122734677.46173,8.0,23006025366.94797
980000,10.01,1054419932291.6149,8.0,23006025366.94797
990000,10.016,136024102417.48596,8.0,23006025366.94797
1000000,10.018,107148010701.9051,8.0,23006025366.94797
1010000,10.02,206561862185.4054,8.0,23006025366.94797
1020000,10.022,482623381710.2693,8.0,23006025366.94797
1030000,10.018,216133089803.77478,8.0,23006025366.94797
1040000,10.02,332150724026.1806,8.0,23006025366.94797
1050000,10.026,458318301860.28125,8.0,23006025366.94797
1060000,10.028,1967753916346.1726,8.0,23006025366.94797
1070000,10.028,137132490890.89621,8.0,23006025366.94797
1080000,10.026,218859479039.77435,8.0,23006025366.94797
1090000,10.03,216646626020.53214,8.0,23006025366.94797
1100000,10.032,302944998990.18524,8.0,23006025366.94797
1110000,10.032,22091385124.127056,8.0,22091385124.127056
1120000,10.034,104998157950.06677,8.0,22091385124.127056
1130000,10.032,220096949131.2941,8.0,22091385124.127056
1140000,10.04,217582696295.55875,8.0,22091385124.127056
1150000,10.038,296725570986.152,8.0,22091385124.127056
1160000,10.04,161658743601.24524,8.0,22091385124.127056
1170000,10.042,175904812490.7886,8.0,22091385124.127056
1180000,10.04,153103018123.69843,8.0,22091385124.127056
1190000,10.04,577596148868.6,8.0,22091385124.127056
1200000,10.042,111060646629.07675,8.0,22091385124.127056
1210000,10.042,314266451502.125,8.0,22091385124.127056
1220000,10.04,329295993136.56104,8.0,22091385124.127056
1230000,10.042,45400546394.605934,8.0,22091385124.127056
1240000,10.05,65509094784.70407,8.0,22091385124.127056
1250000,10.054,112206062113.92142,8.0,22091385124.127056
1260000,10.052,260668268266.85156,8.0,22091385124.127056
1270000,10.05,307589176466.3917,8.0,22091385124.127056
1280000,10.052,142818918832.36725,8.0,22091385124.127056
1290000,10.052,113915437534.30162,8.0,22091385124.127056
1300000,10.054,352542631147.9693,8.0,22091385124.127056
1310000,10.052,307158084494.32495,8.0,22091385124.127056
1320000,10.056,114265407279.43385,8.0,22091385124.127056
1330000,10.056,651023663827.6556,8.0,22091385124.127056
1340000,10.058,430046150229.6428,8.0,22091385124.127056
1350000,10.058,1656410577378.1406,8.0,22091385124.127056
1360000,10.06,363366443864.13904,8.0,22091385124.127056
1370000,10.06,470941875747.8622,8.0,22091385124.127056
1380000,10.06,237174784182.21835,8.0,22091385124.127056
1390000,10.06,111443727656.32309,8.0,22091385124.127056
1400000,10.06,192057323896.21884,8.0,22091385124.127056
1410000,10.068,283191929143.9912,8.0,22091385124.127056
1420000,10.066,60344809804.868004,8.0,22091385124.127056
1430000,10.068,483051339452.6726,8.0,22091385124.127056
1440000,10.066,70891616890.81064,8.0,22091385124.127056
1450000,10.068,69911632573.15596,8.0,22091385124.127056
1460000,10.068,264038948205.23154,8.0,22091385124.127056
1470000,10.074,572334856125.8329,8.0,22091385124.127056
1480000,10.074,216613299261.54486,8.0,22091385124.127056
1490000,10.074,155642944754.6636,8.0,22091385124.127056
1500000,10.074,813820169728.3549,8.0,22091385124.127056
