run,dataset,transform,lmbda,iter,bpp,mse_normed,recon_loss,loss,ckpt
llama8b_resblock-resblock_compressai_M16_lmbda32,llama8b,resblock,32.0,20000,2.9864885807037354,0.022556722164131494,0.022556722164154053,3.708303689956665,checkpoint/rd_sweep/llama8b_resblock-resblock_compressai_M16_lmbda32/best.pth.tar
llama8b_resblock-resblock_compressai_M16_lmbda64,llama8b,resblock,64.0,5000,3.53950572013855,0.01131396740673841,0.011313967406749725,4.263599395751953,checkpoint/rd_sweep/llama8b_resblock-resblock_compressai_M16_lmbda64/best.pth.tar
llama8b_resblock-resblock_compressai_M16_lmbda128,llama8b,resblock,128.0,15000,3.9824764728546143,0.005696221720421578,0.005696221720427275,4.711592674255371,checkpoint/rd_sweep/llama8b_resblock-resblock_compressai_M16_lmbda128/best.pth.tar
llama8b_resblock-resblock_compressai_M16_lmbda256,llama8b,resblock,256.0,20000,4.4783711433410645,0.0028768477495730955,0.0028768477495759726,5.214844226837158,checkpoint/rd_sweep/llama8b_resblock-resblock_compressai_M16_lmbda256/best.pth.tar
llama8b_resblock-resblock_compressai_M16_lmbda1024,llama8b,resblock,1024.0,20000,5.369394779205322,0.0009678849601177132,0.0009678849601186812,6.360508918762207,checkpoint/rd_sweep/llama8b_resblock-resblock_compressai_M16_lmbda1024/best.pth.tar
llama8b_resblock-resblock_compressai_M16_lmbda8192,llama8b,resblock,8192.0,20000,5.989471912384033,0.00048151685041327303,0.0004815168504137546,9.93405818939209,checkpoint/rd_sweep/llama8b_resblock-resblock_compressai_M16_lmbda8192/best.pth.tar
llama8b_rht-rht_compressai_M16_lmbda32,llama8b,rht,32.0,20000,2.2581934928894043,0.06425935775035153,0.0642593577504158,4.314493179321289,checkpoint/rd_sweep/llama8b_rht-rht_compressai_M16_lmbda32/best.pth.tar
llama8b_rht-rht_compressai_M16_lmbda64,llama8b,rht,64.0,20000,2.2907259464263916,0.0629088357090321,0.062908835709095,6.316891670227051,checkpoint/rd_sweep/llama8b_rht-rht_compressai_M16_lmbda64/best.pth.tar
llama8b_rht-rht_compressai_M16_lmbda128,llama8b,rht,128.0,20000,2.305475950241089,0.06259246170514522,0.06259246170520782,10.31731128692627,checkpoint/rd_sweep/llama8b_rht-rht_compressai_M16_lmbda128/best.pth.tar
llama8b_rht-rht_compressai_M16_lmbda256,llama8b,rht,256.0,20000,2.3131930828094482,0.06247202306979607,0.06247202306985855,18.3060302734375,checkpoint/rd_sweep/llama8b_rht-rht_compressai_M16_lmbda256/best.pth.tar
llama8b_rht-rht_compressai_M16_lmbda1024,llama8b,rht,1024.0,20000,2.319124937057495,0.0624016523360582,0.062401652336120605,66.21841430664062,checkpoint/rd_sweep/llama8b_rht-rht_compressai_M16_lmbda1024/best.pth.tar
llama8b_rht-rht_compressai_M16_lmbda8192,llama8b,rht,8192.0,20000,2.3209197521209717,0.06238326057785471,0.0623832605779171,513.3645629882812,checkpoint/rd_sweep/llama8b_rht-rht_compressai_M16_lmbda8192/best.pth.tar
