transform,bin,sigma_mid,n_cols,ortho_rel_mean,ortho_rel_std,m2m_med_mean,m2m_med_std,pr_med_mean,pr_med_std,dist_to_RHT(unit)_mean,dist_to_RHT(unit)_std
learned_llama,9,1.799484133720398,410,0.031542181968688965,0.008787130936980247,3.9827117919921875,0.012102180160582066,7.564751625061035,0.03059287928044796,0.790992796421051,0.0009167871903628111
learned_gauss,0,0.01320573315024376,410,0.016669271513819695,3.402284346520901e-05,2.574401617050171,0.00019022460037376732,10.718755722045898,0.0003167146642226726,0.6046589016914368,6.053257038729498e-06
learned_gauss,1,0.02636563591659069,410,0.01671619899570942,7.868865213822573e-05,2.5748114585876465,0.0005450574681162834,10.7193021774292,0.0007971812156029046,0.6046600341796875,1.1530128176673315e-05
learned_gauss,2,0.08934250473976135,409,0.016849545761942863,0.00021237439068499953,2.5757017135620117,0.0007605929276905954,10.719891548156738,0.0015429288614541292,0.6046596169471741,2.5854362320387736e-05
learned_gauss,3,0.24869303405284882,410,0.01850120909512043,0.003805475076660514,2.5740811824798584,0.0028982406947761774,10.721474647521973,0.006834886036813259,0.6046717166900635,0.00010101853695232421
learned_gauss,4,0.7254930734634399,409,0.02304721437394619,0.007100616116076708,2.571087121963501,0.004081134218722582,10.729460716247559,0.01307604368776083,0.6046444177627563,0.00020872626919299364
learned_gauss,5,0.8271152973175049,410,0.02472900226712227,0.008143425919115543,2.570411443710327,0.004891798831522465,10.732040405273438,0.013960443437099457,0.6045817136764526,0.00023262017930392176
learned_gauss,6,0.944014310836792,409,0.02851724997162819,0.010201203636825085,2.5690412521362305,0.0056378841400146484,10.737455368041992,0.016868185251951218,0.6045441627502441,0.00028419593581929803
learned_gauss,7,1.2227284908294678,410,0.04014560580253601,0.01596115529537201,2.5665318965911865,0.008007899858057499,10.74786376953125,0.021492909640073776,0.6044805645942688,0.0004216729139443487
learned_gauss,8,1.5130280256271362,409,0.053525183349847794,0.019327886402606964,2.5619895458221436,0.011894728057086468,10.757148742675781,0.02514936774969101,0.6044073700904846,0.0005402720416896045
learned_gauss,9,1.799484133720398,410,0.07853235304355621,0.03338424488902092,2.5558557510375977,0.015343703329563141,10.766887664794922,0.033283453434705734,0.604478657245636,0.000681133009493351
random_init,0,0.01320573315024376,410,1.6132032871246338,0.009292165748775005,2.4900741577148438,0.017686737701296806,10.598301887512207,0.06171626225113869,0.6417129039764404,0.0017553383950144053
random_init,1,0.02636563591659069,410,1.5998485088348389,0.015923015773296356,2.4894418716430664,0.026242166757583618,10.630444526672363,0.0862075686454773,0.6401422023773193,0.0030428089667111635
random_init,2,0.08934250473976135,409,1.5752553939819336,0.028497979044914246,2.5015273094177246,0.036348339170217514,10.69815731048584,0.11584097892045975,0.6389296054840088,0.00527942692860961
random_init,3,0.24869303405284882,410,1.5664929151535034,0.04657268524169922,2.501344919204712,0.050649493932724,10.740348815917969,0.1372162103652954,0.6393088698387146,0.007082938216626644
random_init,4,0.7254930734634399,409,1.5372823476791382,0.05021106079220772,2.4850809574127197,0.0516548790037632,10.733199119567871,0.13975374400615692,0.6361210346221924,0.007616709917783737
random_init,5,0.8271152973175049,410,1.5144175291061401,0.054740529507398605,2.4820146560668945,0.04864216223359108,10.725878715515137,0.14093975722789764,0.6356991529464722,0.007754535414278507
random_init,6,0.944014310836792,409,1.4897866249084473,0.0541825070977211,2.462333917617798,0.05302702262997627,10.735245704650879,0.13025648891925812,0.6323909759521484,0.007886786013841629
random_init,7,1.2227284908294678,410,1.4452089071273804,0.05569160357117653,2.4400250911712646,0.05082395300269127,10.75656795501709,0.13495881855487823,0.6267064809799194,0.007932609878480434
random_init,8,1.5130280256271362,409,1.406742811203003,0.05224569886922836,2.4206581115722656,0.05167945846915245,10.777989387512207,0.1347941905260086,0.6230022311210632,0.008455775678157806
random_init,9,1.799484133720398,410,1.3505384922027588,0.057002920657396317,2.4093546867370605,0.05010933801531792,10.79747486114502,0.13808287680149078,0.6169689893722534,0.008533474989235401
scaling,0,0.01320573315024376,410,0.0,0.0,16.0,0.0,1.0,0.0,1.2247447967529297,1.1920928955078125e-07
scaling,1,0.02636563591659069,410,0.0,0.0,16.0,0.0,1.0,0.0,1.2247447967529297,1.1920928955078125e-07
scaling,2,0.08934250473976135,409,0.0,0.0,16.0,0.0,1.0,0.0,1.2247449159622192,0.0
scaling,3,0.24869303405284882,410,0.0,0.0,16.0,0.0,1.0,0.0,1.2247447967529297,1.1920928955078125e-07
scaling,4,0.7254930734634399,409,0.0,0.0,16.0,0.0,1.0,0.0,1.2247449159622192,0.0
scaling,5,0.8271152973175049,410,0.0,0.0,16.0,0.0,1.0,0.0,1.2247447967529297,1.1920928955078125e-07
scaling,6,0.944014310836792,409,0.0,0.0,16.0,0.0,1.0,0.0,1.2247449159622192,0.0
scaling,7,1.2227284908294678,410,0.0,0.0,16.0,0.0,1.0,0.0,1.2247447967529297,1.1920928955078125e-07
scaling,8,1.5130280256271362,409,0.0,0.0,16.0,0.0,1.0,0.0,1.2247449159622192,0.0
scaling,9,1.799484133720398,410,0.0,0.0,16.0,0.0,1.0,0.0,1.2247447967529297,1.1920928955078125e-07
