col,sigma,no_transform_ortho_rel_mean,no_transform_ortho_rel_std,no_transform_m2m_med_mean,no_transform_m2m_med_std,no_transform_pr_med_mean,no_transform_pr_med_std,no_transform_dist_to_RHT(unit)_mean,no_transform_dist_to_RHT(unit)_std,rht_ortho_rel_mean,rht_ortho_rel_std,rht_m2m_med_mean,rht_m2m_med_std,rht_pr_med_mean,rht_pr_med_std,rht_dist_to_RHT(unit)_mean,rht_dist_to_RHT(unit)_std,learned_llama_ortho_rel_mean,learned_llama_ortho_rel_std,learned_llama_m2m_med_mean,learned_llama_m2m_med_std,learned_llama_pr_med_mean,learned_llama_pr_med_std,learned_llama_dist_to_RHT(unit)_mean,learned_llama_dist_to_RHT(unit)_std,learned_gauss_ortho_rel_mean,learned_gauss_ortho_rel_std,learned_gauss_m2m_med_mean,learned_gauss_m2m_med_std,learned_gauss_pr_med_mean,learned_gauss_pr_med_std,learned_gauss_dist_to_RHT(unit)_mean,learned_gauss_dist_to_RHT(unit)_std,random_init_ortho_rel_mean,random_init_ortho_rel_std,random_init_m2m_med_mean,random_init_m2m_med_std,random_init_pr_med_mean,random_init_pr_med_std,random_init_dist_to_RHT(unit)_mean,random_init_dist_to_RHT(unit)_std,scaling_ortho_rel_mean,scaling_ortho_rel_std,scaling_m2m_med_mean,scaling_m2m_med_std,scaling_pr_med_mean,scaling_pr_med_std,scaling_dist_to_RHT(unit)_mean,scaling_dist_to_RHT(unit)_std
923,0.1367131918668747,0.0,0.0,16.0,0.0,1.0,0.0,1.2247449159622192,0.0,0.0,0.0,1.0,0.0,16.0,0.0,0.0,0.0,0.01302850991487503,0.0001725366892060265,3.9726314544677734,0.002094424096867442,7.521792888641357,0.010722971521317959,0.7929874062538147,0.0003104448551312089,0.01719622313976288,0.0005042777629569173,2.5771799087524414,0.0021374239586293697,10.718265533447266,0.006472147069871426,0.6047062873840332,5.923578646616079e-05,1.559399962425232,0.05475257709622383,2.536609649658203,0.1262435019016266,10.706544876098633,0.23470328748226166,0.651326060295105,0.01208298746496439,0.0,0.0,16.0,0.0,1.0,0.0,1.2247449159622192,0.0
924,1.4275072813034058,0.0,0.0,16.0,0.0,1.0,0.0,1.2247449159622192,0.0,0.0,0.0,1.0,0.0,16.0,0.0,0.0,0.0,0.02401645854115486,0.017280062660574913,3.984384536743164,0.021977562457323074,7.532227516174316,0.049165040254592896,0.7924037575721741,0.0006617365870624781,0.03304183483123779,0.03763667494058609,2.566089630126953,0.021882236003875732,10.736104965209961,0.06373797357082367,0.6043984293937683,0.001017155358567834,1.4253968000411987,0.1464160978794098,2.541811227798462,0.2098717987537384,10.786836624145508,0.45299720764160156,0.6386305093765259,0.026347560808062553,0.0,0.0,16.0,0.0,1.0,0.0,1.2247449159622192,0.0
925,1.0865263938903809,0.0,0.0,16.0,0.0,1.0,0.0,1.2247449159622192,0.0,0.0,0.0,1.0,0.0,16.0,0.0,0.0,0.0,0.019344452768564224,0.008358138613402843,3.993436098098755,0.028715526685118675,7.506849765777588,0.05048821493983269,0.7926929593086243,0.0012632414000108838,0.033389002084732056,0.026106126606464386,2.565751552581787,0.008945288136601448,10.747514724731445,0.036917950958013535,0.6042388677597046,0.001036444096826017,1.4547529220581055,0.12853479385375977,2.4604673385620117,0.1530269980430603,10.79946231842041,0.22275210916996002,0.6290491819381714,0.023227041587233543,0.0,0.0,16.0,0.0,1.0,0.0,1.2247449159622192,0.0
926,0.13491441309452057,0.0,0.0,16.0,0.0,1.0,0.0,1.2247449159622192,0.0,0.0,0.0,1.0,0.0,16.0,0.0,0.0,0.0,0.01302756555378437,0.000225638403207995,3.9742064476013184,0.0019613855984061956,7.523725986480713,0.005753309465944767,0.7929763793945312,0.00023424491519108415,0.016887057572603226,0.00036803571856580675,2.576322555541992,0.0015727567952126265,10.72217082977295,0.004534590058028698,0.604622483253479,0.00017220490553881973,1.5280086994171143,0.06351645290851593,2.5078225135803223,0.0906749963760376,10.6859712600708,0.3842940330505371,0.638878345489502,0.022005923092365265,0.0,0.0,16.0,0.0,1.0,0.0,1.2247449159622192,0.0
927,0.10566330701112747,0.0,0.0,16.0,0.0,1.0,0.0,1.2247449159622192,0.0,0.0,0.0,1.0,0.0,16.0,0.0,0.0,0.0,0.0130141107365489,0.00016211900219786912,3.9753499031066895,0.0013885563239455223,7.521720886230469,0.003712969133630395,0.7929630279541016,0.00011013416951755062,0.016914498060941696,0.0003368876059539616,2.576476812362671,0.002138111973181367,10.721612930297852,0.00281759025529027,0.6046750545501709,8.061535481829196e-05,1.5513365268707275,0.07666084170341492,2.5219063758850098,0.1363096535205841,10.661214828491211,0.2628948390483856,0.6400797963142395,0.015393663197755814,0.0,0.0,16.0,0.0,1.0,0.0,1.2247449159622192,0.0
928,0.9114935994148254,0.0,0.0,16.0,0.0,1.0,0.0,1.2247449159622192,0.0,0.0,0.0,1.0,0.0,16.0,0.0,0.0,0.0,0.016872262582182884,0.0025376544799655676,3.9855897426605225,0.010341430082917213,7.5007548332214355,0.03608846291899681,0.7929314970970154,0.000978613505139947,0.017279405146837234,0.003192049218341708,2.5716984272003174,0.009564883075654507,10.72764778137207,0.02198009565472603,0.6047341823577881,0.00024927128106355667,1.463897705078125,0.15529194474220276,2.417351484298706,0.16077448427677155,10.857134819030762,0.36438509821891785,0.6309522986412048,0.018124420195817947,0.0,0.0,16.0,0.0,1.0,0.0,1.2247449159622192,0.0
929,0.7490898966789246,0.0,0.0,16.0,0.0,1.0,0.0,1.2247449159622192,0.0,0.0,0.0,1.0,0.0,16.0,0.0,0.0,0.0,0.01895751617848873,0.006628184579312801,3.9786925315856934,0.016458509489893913,7.533871173858643,0.05002338066697121,0.7922410368919373,0.0007450684206560254,0.0197907742112875,0.005382713861763477,2.569441556930542,0.00749852042645216,10.718438148498535,0.023089783266186714,0.6047804355621338,0.0004574077611323446,1.5173358917236328,0.16355496644973755,2.4741415977478027,0.14300687611103058,10.561406135559082,0.4352683424949646,0.6380903124809265,0.02351774089038372,0.0,0.0,16.0,0.0,1.0,0.0,1.2247449159622192,0.0
930,0.9421548247337341,0.0,0.0,16.0,0.0,1.0,0.0,1.2247449159622192,0.0,0.0,0.0,1.0,0.0,16.0,0.0,0.0,0.0,0.022131536155939102,0.009313744492828846,3.9851863384246826,0.01848185993731022,7.507254600524902,0.03828128054738045,0.7928405404090881,0.001559173921123147,0.05109470710158348,0.08639717102050781,2.579465627670288,0.014731849543750286,10.739089012145996,0.021987276151776314,0.6045218706130981,0.0006526299985125661,1.4386041164398193,0.12240131199359894,2.3515493869781494,0.05417631193995476,10.802541732788086,0.20492039620876312,0.6171802282333374,0.022336654365062714,0.0,0.0,16.0,0.0,1.0,0.0,1.2247449159622192,0.0
931,0.1499941647052765,0.0,0.0,16.0,0.0,1.0,0.0,1.2247449159622192,0.0,0.0,0.0,1.0,0.0,16.0,0.0,0.0,0.0,0.013337031938135624,0.00040866524796001613,3.972731828689575,0.002721870318055153,7.524196147918701,0.013625810854136944,0.7930452823638916,0.00023556873202323914,0.01670306734740734,0.0008262672345153987,2.5755276679992676,0.0019476423040032387,10.718912124633789,0.0031809411011636257,0.6047189831733704,0.00015138881281018257,1.5215933322906494,0.07490087300539017,2.550628662109375,0.12050359696149826,10.660482406616211,0.3338947296142578,0.6394751071929932,0.018751395866274834,0.0,0.0,16.0,0.0,1.0,0.0,1.2247449159622192,0.0
932,0.6741477251052856,0.0,0.0,16.0,0.0,1.0,0.0,1.2247449159622192,0.0,0.0,0.0,1.0,0.0,16.0,0.0,0.0,0.0,0.013753197155892849,0.0009002010920085013,3.97359561920166,0.003750668838620186,7.5242228507995605,0.024580812081694603,0.7927390336990356,0.00045101193245500326,0.01806875504553318,0.002377596218138933,2.5758862495422363,0.005562240723520517,10.71878433227539,0.013020575046539307,0.6048523187637329,0.00016423850320279598,1.553931713104248,0.06882207840681076,2.518857002258301,0.16398222744464874,10.634180068969727,0.35977596044540405,0.648324728012085,0.030487248674035072,0.0,0.0,16.0,0.0,1.0,0.0,1.2247449159622192,0.0
