col,sigma_c,no_transform_PR,scaling_PR,rht_PR,learned_llama_PR,learned_gauss_PR,random_init_PR
104,1.4978654,1.0,1.0,16.0,9.435491561889648,10.713960647583008,10.398448944091797
105,0.092244804,1.0,1.0,16.0,5.134547233581543,10.714412689208984,10.267779350280762
106,0.11805207,1.0,1.0,16.0,12.72654914855957,9.986146926879883,10.615901947021484
107,1.4967791,1.0,1.0,16.0,5.757481575012207,10.663461685180664,11.527813911437988
108,0.009433261,1.0,1.0,16.0,9.742008209228516,10.87655258178711,10.674155235290527
109,0.69859374,1.0,1.0,16.0,6.444474220275879,9.53901195526123,11.619020462036133
110,0.23856194,1.0,1.0,16.0,9.997666358947754,10.967924118041992,11.31698226928711
111,1.9380451,1.0,1.0,16.0,8.998993873596191,11.346061706542969,10.576638221740723
112,0.72385126,1.0,1.0,16.0,7.532592296600342,9.81100082397461,10.453725814819336
113,1.3662418,1.0,1.0,16.0,5.1975932121276855,13.02254867553711,10.729972839355469
114,0.906321,1.0,1.0,16.0,5.771182060241699,9.984658241271973,11.14748477935791
115,1.4465687,1.0,1.0,16.0,8.392356872558594,8.552000999450684,10.900859832763672
116,0.81754565,1.0,1.0,16.0,7.8027753829956055,11.208056449890137,10.707733154296875
117,1.6179097,1.0,1.0,16.0,8.314434051513672,11.09331226348877,11.083765983581543
118,0.6735885,1.0,1.0,16.0,6.413110733032227,11.550378799438477,10.616670608520508
119,0.008109622,1.0,1.0,16.0,5.1266937255859375,11.334519386291504,11.651270866394043
120,1.3756077,1.0,1.0,16.0,9.424812316894531,10.71568489074707,10.541766166687012
121,1.3521417,1.0,1.0,16.0,5.1236748695373535,10.713536262512207,10.462175369262695
122,0.5890278,1.0,1.0,16.0,12.741031646728516,9.982722282409668,10.49647045135498
123,0.7842075,1.0,1.0,16.0,5.752600193023682,10.660749435424805,11.336919784545898
124,0.8108071,1.0,1.0,16.0,9.749061584472656,10.883235931396484,10.815444946289062
125,0.050356187,1.0,1.0,16.0,6.438631534576416,9.53662395477295,11.348437309265137
126,1.3873621,1.0,1.0,16.0,9.992096900939941,10.942024230957031,10.972274780273438
127,0.8422138,1.0,1.0,16.0,8.995415687561035,11.353569030761719,10.335247039794922
128,1.5971704,1.0,1.0,16.0,7.544234752655029,9.794645309448242,10.477245330810547
129,0.78161675,1.0,1.0,16.0,5.196619033813477,13.024129867553711,10.650318145751953
130,0.0106631,1.0,1.0,16.0,5.78183650970459,9.984837532043457,11.365682601928711
131,0.04741195,1.0,1.0,16.0,8.397383689880371,8.544503211975098,10.754769325256348
132,1.692886,1.0,1.0,16.0,7.822673797607422,11.231042861938477,10.965999603271484
133,2.679712,1.0,1.0,16.0,8.356184005737305,11.1021146774292,10.956244468688965
134,0.0871147,1.0,1.0,16.0,6.391460418701172,11.551864624023438,10.579792976379395
135,1.5363998,1.0,1.0,16.0,5.1258440017700195,11.336302757263184,11.511402130126953
136,0.8201303,1.0,1.0,16.0,9.42411994934082,10.711777687072754,10.460939407348633
137,1.4964825,1.0,1.0,16.0,5.134811878204346,10.73099136352539,10.583324432373047
138,0.015788151,1.0,1.0,16.0,12.756410598754883,9.948637008666992,10.506053924560547
139,0.63912195,1.0,1.0,16.0,5.752458572387695,10.647238731384277,11.470053672790527
140,0.9460994,1.0,1.0,16.0,9.745588302612305,10.895636558532715,10.51754093170166
141,0.16960165,1.0,1.0,16.0,6.446080207824707,9.540803909301758,11.281900405883789
142,0.65669084,1.0,1.0,16.0,10.008150100708008,10.955354690551758,10.673900604248047
143,0.019579861,1.0,1.0,16.0,8.994412422180176,11.372150421142578,10.581511497497559
144,1.7105048,1.0,1.0,16.0,7.542852401733398,9.820562362670898,10.53270149230957
145,0.7613255,1.0,1.0,16.0,5.219513416290283,13.053847312927246,10.681173324584961
146,0.011096435,1.0,1.0,16.0,5.775756359100342,9.961385726928711,11.23154354095459
147,1.0130101,1.0,1.0,16.0,8.393095016479492,8.534971237182617,10.976304054260254
148,0.9755203,1.0,1.0,16.0,7.792030334472656,11.185186386108398,10.723677635192871
149,0.018624721,1.0,1.0,16.0,8.280252456665039,11.081483840942383,10.634980201721191
150,0.02049448,1.0,1.0,16.0,6.408047199249268,11.564233779907227,10.470104217529297
151,0.84451014,1.0,1.0,16.0,5.131364345550537,11.320920944213867,11.612677574157715
152,0.010390376,1.0,1.0,16.0,9.434428215026855,10.71794319152832,10.043437957763672
153,0.62840307,1.0,1.0,16.0,5.093951225280762,10.710977554321289,10.202476501464844
154,0.26281884,1.0,1.0,16.0,12.72603988647461,9.98536205291748,10.45945930480957
155,0.17217766,1.0,1.0,16.0,5.7620849609375,10.655006408691406,11.437078475952148
156,0.10755227,1.0,1.0,16.0,9.73479175567627,10.864663124084473,10.606636047363281
157,0.2709648,1.0,1.0,16.0,6.4489288330078125,9.544081687927246,11.46645736694336
158,1.3586351,1.0,1.0,16.0,9.989262580871582,10.969146728515625,10.852209091186523
159,0.90021455,1.0,1.0,16.0,8.999249458312988,11.355846405029297,10.539939880371094
160,1.1516607,1.0,1.0,16.0,7.533400535583496,9.800897598266602,10.604079246520996
161,0.89817935,1.0,1.0,16.0,5.182445049285889,13.024723052978516,10.422708511352539
162,3.077187,1.0,1.0,16.0,5.774241924285889,10.014214515686035,10.584861755371094
163,0.18524022,1.0,1.0,16.0,8.397714614868164,8.551679611206055,10.832206726074219
164,0.96356964,1.0,1.0,16.0,7.82520866394043,11.207280158996582,10.706645011901855
165,1.4399661,1.0,1.0,16.0,8.349638938903809,11.096501350402832,10.86633014678955
166,1.5805358,1.0,1.0,16.0,6.416560173034668,11.549139022827148,10.554041862487793
167,0.79783887,1.0,1.0,16.0,5.106810092926025,11.34423828125,11.524821281433105
168,1.1855717,1.0,1.0,16.0,9.421521186828613,10.709099769592285,10.606597900390625
169,0.014687218,1.0,1.0,16.0,5.168801784515381,10.706548690795898,10.427502632141113
170,0.97893614,1.0,1.0,16.0,12.752606391906738,9.976433753967285,10.246817588806152
171,0.09385943,1.0,1.0,16.0,5.733802318572998,10.659751892089844,11.490371704101562
172,0.08270744,1.0,1.0,16.0,9.764242172241211,10.874160766601562,10.41793441772461
173,0.9975892,1.0,1.0,16.0,6.438775062561035,9.545865058898926,11.953357696533203
174,1.4226352,1.0,1.0,16.0,9.98694133758545,10.936890602111816,10.86855411529541
175,0.09404962,1.0,1.0,16.0,8.999832153320312,11.354485511779785,10.26609992980957
176,0.016760653,1.0,1.0,16.0,7.526039123535156,9.821329116821289,10.767498970031738
177,0.012389692,1.0,1.0,16.0,5.198065280914307,13.031956672668457,11.089567184448242
178,0.010164884,1.0,1.0,16.0,5.779994010925293,9.967076301574707,11.060227394104004
179,1.2008895,1.0,1.0,16.0,8.396263122558594,8.553464889526367,10.803723335266113
180,0.9263476,1.0,1.0,16.0,7.787757873535156,11.225163459777832,10.744369506835938
